0.00 206.36 170.82 62.59 85.59 107.55 150.93 91.81 154.55 106.94 166.91 152.43 123.07 128.01 156.89 163.45 83.81 72.54 75.11 63.29 63.29 66.63 83.81
206.36 0.00 236.20 210.35 214.14 220.16 241.05 219.80 232.53 225.60 234.06 235.43 231.35 227.31 234.94 244.99 214.99 216.22 215.40 213.73 213.73 213.40 215.35
170.82 236.20 0.00 200.13 201.23 112.48 253.36 110.07 70.91 103.12 241.63 58.34 232.99 90.23 65.26 230.18 220.25 172.54 210.62 169.73 169.76 173.25 121.48
62.59 210.35 200.13 0.00 45.39 146.15 121.15 124.05 185.90 137.39 126.10 187.58 94.11 164.78 189.15 131.49 59.67 90.51 55.83 77.20 77.19 74.07 117.94
85.59 214.14 201.23 45.39 0.00 153.95 129.69 132.34 183.65 137.83 124.32 192.51 96.60 171.61 190.94 131.87 71.19 93.35 70.40 91.67 91.66 74.42 130.16
107.55 220.16 112.48 146.15 153.95 0.00 226.42 71.81 107.69 95.44 237.27 93.00 198.78 59.35 111.03 234.78 160.56 124.90 151.34 114.56 114.58 123.82 73.51
150.93 241.05 253.36 121.15 129.69 226.42 0.00 210.89 254.27 219.78 79.74 258.70 75.80 249.46 253.66 61.09 102.48 162.44 110.63 157.44 157.42 154.48 204.71
91.81 219.80 110.07 124.05 132.34 71.81 210.89 0.00 100.75 61.17 221.78 81.30 175.79 87.73 100.36 216.06 132.21 95.48 120.41 73.00 73.03 91.27 28.53
154.55 232.53 70.91 185.90 183.65 107.69 254.27 100.75 0.00 76.38 251.57 61.60 235.15 80.59 37.27 245.97 205.81 137.21 195.31 150.78 150.80 143.55 111.03
106.94 225.60 103.12 137.39 137.83 95.44 219.78 61.17 76.38 0.00 235.49 78.19 179.61 85.42 73.82 220.24 151.74 85.37 139.75 96.12 96.14 91.00 74.57
166.91 234.06 241.63 126.10 124.32 237.27 79.74 221.78 251.57 235.49 0.00 244.65 90.95 240.46 251.77 74.10 104.30 179.08 117.35 170.30 170.28 165.49 213.78
152.43 235.43 58.34 187.58 192.51 93.00 258.70 81.30 61.60 78.19 244.65 0.00 235.83 71.26 45.57 239.78 203.07 148.35 191.51 144.88 144.90 152.60 91.61
123.07 231.35 232.99 94.11 96.60 198.78 75.80 175.79 235.15 179.61 90.95 235.83 0.00 218.95 237.15 55.12 69.95 114.75 71.78 119.80 119.78 105.71 170.78
128.01 227.31 90.23 164.78 171.61 59.35 249.46 87.73 80.59 85.42 240.46 71.26 218.95 0.00 75.54 237.38 188.23 135.54 177.18 134.59 134.61 137.97 95.74
156.89 234.94 65.26 189.15 190.94 111.03 253.66 100.36 37.27 73.82 251.77 45.57 237.15 75.54 0.00 246.53 209.50 143.19 197.71 150.76 150.79 149.66 110.38
163.45 244.99 230.18 131.49 131.87 234.78 61.09 216.06 245.97 220.24 74.10 239.78 55.12 237.38 246.53 0.00 105.58 161.63 113.39 163.49 163.47 153.70 211.57
83.81 214.99 220.25 59.67 71.19 160.56 102.48 132.21 205.81 151.74 104.30 203.07 69.95 188.23 209.50 105.58 0.00 94.71 19.06 72.57 72.55 78.57 124.55
72.54 216.22 172.54 90.51 93.35 124.90 162.44 95.48 137.21 85.37 179.08 148.35 114.75 135.54 143.19 161.63 94.71 0.00 83.06 64.09 64.09 28.94 92.52
75.11 215.40 210.62 55.83 70.40 151.34 110.63 120.41 195.31 139.75 117.35 191.51 71.78 177.18 197.71 113.39 19.06 83.06 0.00 58.77 58.74 66.26 113.01
63.29 213.73 169.73 77.20 91.67 114.56 157.44 73.00 150.78 96.12 170.30 144.88 119.80 134.59 150.76 163.49 72.57 64.09 58.77 0.00 0.20 49.87 68.18
63.29 213.73 169.76 77.19 91.66 114.58 157.42 73.03 150.80 96.14 170.28 144.90 119.78 134.61 150.79 163.47 72.55 64.09 58.74 0.20 0.00 49.87 68.20
66.63 213.40 173.25 74.07 74.42 123.82 154.48 91.27 143.55 91.00 165.49 152.60 105.71 137.97 149.66 153.70 78.57 28.94 66.26 49.87 49.87 0.00 89.55
83.81 215.35 121.48 117.94 130.16 73.51 204.71 28.53 111.03 74.57 213.78 91.61 170.78 95.74 110.38 211.57 124.55 92.52 113.01 68.18 68.20 89.55 0.00
